team,mean_elo,year
Mavericks,1564.1789584269661,2014
Mavericks,1598.191924137931,2015
Pacers,,1976
Pacers,1480.4410512195122,1977
Pacers,1444.2032914634146,1978
Pacers,1449.5205939024388,1979
Pacers,1477.249406097561,1980
Pacers,1524.002619047619,1981
Pacers,1484.4129804878046,1982
Pacers,1370.1781731707317,1983
Pacers,1369.9596512195124,1984
Pacers,1379.4785731707318,1985
Pacers,1398.5099353658538,1986
Pacers,1481.2700802325583,1987
Pacers,1498.9581939024392,1988
Pacers,1418.8300256097561,1989
Pacers,1485.0630929411766,1990
Pacers,1473.1410816091955,1991
Pacers,1508.7072811764706,1992
Pacers,1519.1310883720928,1993
Pacers,1561.0082040816326,1994
Pacers,1610.7860717171714,1995
Pacers,1590.3298080459772,1996
Pacers,1538.1001829268291,1997
Pacers,1627.5006397959185,1998
Pacers,1628.270988888889,1999
Pacers,1626.8970552380952,2000
Pacers,1519.2949,2001
Pacers,1496.156832183908,2002
Pacers,1552.4837329545453,2003
Pacers,1613.8312153061224,2004
Pacers,1544.673616842105,2005
Pacers,1526.9609954545456,2006
Pacers,1464.2923475609757,2007
Pacers,1437.0906670731706,2008
Pacers,1464.1336914634146,2009
Pacers,1427.3820414634147,2010
Pacers,1481.1520436781607,2011
Pacers,1553.134977922078,2012
Pacers,1579.5378220000002,2013
Pacers,1614.1655950495053,2014
Pacers,1478.1334256097562,2015
Timberwolves,,1976
Timberwolves,,1977
Timberwolves,,1978
Timberwolves,,1979
Timberwolves,,1980
Timberwolves,,1981
Timberwolves,,1982
Timberwolves,,1983
Timberwolves,,1984
Timberwolves,,1985
Timberwolves,,1986
Timberwolves,,1987
Timberwolves,,1988
Timberwolves,,1989
Timberwolves,1319.0188256097563,1990
Timberwolves,1364.9903914634147,1991
Timberwolves,1324.4210475609755,1992
Timberwolves,1302.1512548780488,1993
Timberwolves,1320.9710597560977,1994
Timberwolves,1292.3687024390244,1995
Timberwolves,1352.322213414634,1996
Timberwolves,1431.1256035294118,1997
Timberwolves,1481.6923252873562,1998
Timberwolves,1507.4150203703703,1999
Timberwolves,1519.9581244186047,2000
Timberwolves,1549.9985313953484,2001
Timberwolves,1591.323963529412,2002
Timberwolves,1561.5951272727273,2003
Timberwolves,1635.1831120000002,2004
Timberwolves,1556.031219512195,2005
Timberwolves,1493.8701414634147,2006
Timberwolves,1445.9526609756097,2007
Timberwolves,1330.2053134146342,2008
Timberwolves,1368.5171158536584,2009
Timberwolves,1302.6781475609755,2010
Timberwolves,1314.6176073170734,2011
Timberwolves,1428.9643969696967,2012
Timberwolves,1435.8570707317072,2013
Timberwolves,1542.6098414634146,2014
Timberwolves,1365.595607317073,2015
Hawks,,1976
Hawks,1379.6318,1977
Hawks,1479.2726416666667,1978
Hawks,1532.8125813186814,1979
Hawks,1582.3186586206898,1980
Hawks,1472.06228902439,1981
Hawks,1480.7194107142857,1982
Hawks,1506.2671000000003,1983
Hawks,1483.1517459770116,1984
Hawks,1470.7965524390243,1985
Hawks,1529.0034824175825,1986
Hawks,1632.8475208791212,1987
Hawks,1611.2264382978728,1988
