team,mean_elo,year,Conference
Knicks,1576.552899,1998,East
Knicks,1558.174133,1999,East
Knicks,1580.34706,2000,East
Knicks,1541.880236,2001,East
Knicks,1432.802155,2002,East
Knicks,1442.349867,2003,East
Knicks,1460.091884,2004,East
Knicks,1427.18021,2005,East
Knicks,1362.657007,2006,East
Knicks,1412.140874,2007,East
Knicks,1359.445628,2008,East
Knicks,1402.112826,2009,East
Knicks,1403.068787,2010,East
Knicks,1482.121944,2011,East
Knicks,1505.634907,2012,East
Knicks,1592.280788,2013,East
Knicks,1472.932905,2014,East
Knicks,1352.518815,2015,East
Heat,,1976,East
Heat,,1977,East
Heat,,1978,East
Heat,,1979,East
Heat,,1980,East
Heat,,1981,East
Heat,,1982,East
Heat,,1983,East
Heat,,1984,East
Heat,,1985,East
Heat,,1986,East
Heat,,1987,East
Heat,,1988,East
Heat,1223.792359,1989,East
Heat,1269.364911,1990,East
Heat,1318.852068,1991,East
Heat,1417.302093,1992,East
Heat,1447.544968,1993,East
Heat,1534.727957,1994,East
Heat,1460.71093,1995,East
Heat,1480.495781,1996,East
Heat,1625.040848,1997,East
Heat,1630.172072,1998,East
Heat,1604.374502,1999,East
Heat,1586.003814,2000,East
Heat,1569.928035,2001,East
Heat,1452.414271,2002,East
Heat,1418.22982,2003,East
Heat,1455.217045,2004,East
Heat,1634.429776,2005,East
Heat,1615.043342,2006,East
Heat,1516.943238,2007,East
Heat,1343.776463,2008,East
Heat,1452.268736,2009,East
Heat,1526.755813,2010,East
Heat,1656.639642,2011,East
Heat,1676.05188,2012,East
Heat,1703.85733,2013,East
Heat,1664.370056,2014,East
Heat,1488.709398,2015,East
Nuggets,,1976,West
Nuggets,1614.36754,1977,West
Nuggets,1548.657758,1978,West
Nuggets,1531.033965,1979,West
Nuggets,1447.595318,1980,West
Nuggets,1434.203157,1981,West
Nuggets,1502.896418,1982,West
Nuggets,1513.729962,1983,West
Nuggets,1491.751978,1984,West
Nuggets,1554.572342,1985,West
Nuggets,1554.834921,1986,West
Nuggets,1476.283334,1987,West
Nuggets,1551.11819,1988,West
Nuggets,1529.720142,1989,West
Nuggets,1494.795629,1990,West
Nuggets,1331.36582,1991,West
Nuggets,1332.767637,1992,West
Nuggets,1386.982624,1993,West
Nuggets,1515.564019,1994,West
Nuggets,1531.567551,1995,West
Nuggets,1469.251376,1996,West
Nuggets,1361.840887,1997,West
Nuggets,1225.104035,1998,West
Nuggets,1295.301208,1999,West
Nuggets,1406.128699,2000,West
Nuggets,1468.687539,2001,West
Nuggets,1412.629799,2002,West
Nuggets,1336.392076,2003,West
Nuggets,1482.315809,2004,West
Nuggets,1525.74478,2005,West
Nuggets,1532.535443,2006,West
Nuggets,1516.088283,2007,West
Nuggets,1575.703791,2008,West
Nuggets,1605.673822,2009,West
Nuggets,1626.186017,2010,West
Nuggets,1587.60818,2011,West
Nuggets,1581.970653,2012,West
Nuggets,1622.207916,2013,West
Nuggets,1514.094113,2014,West
Nuggets,1447.915806,2015,West
Mavericks,,1976,West
Mavericks,,1977,West
Mavericks,,1978,West
Mavericks,,1979,West
Mavericks,,1980,West
Mavericks,1240.409752,1981,West
Mavericks,1338.243474,1982,West
Mavericks,1462.72659,1983,West
Mavericks,1498.375551,1984,West
Mavericks,1523.199072,1985,West
Mavericks,1524.248751,1986,West
Mavericks,1606.841473,1987,West
Mavericks,1591.942675,1988,West
Mavericks,1492.997216,1989,West
Mavericks,1473.113514,1990,West
Mavericks,1420.642824,1991,West
Mavericks,1326.521454,1992,West
Mavericks,1187.30434,1993,West
Mavericks,1221.580973,1994,West
Mavericks,1400.622473,1995,West
Mavericks,1392.827591,1996,West
Mavericks,1345.329567,1997,West
Mavericks,1314.571302,1998,West
Mavericks,1373.153966,1999,West
Mavericks,1456.926793,2000,West
Mavericks,1583.788801,2001,West
Mavericks,1618.021358,2002,West
Mavericks,1690.315929,2003,West
Mavericks,1617.056707,2004,West
Mavericks,1630.707103,2005,West
Mavericks,1677.100869,2006,West
Mavericks,1695.088325,2007,West
Mavericks,1617.963343,2008,West
Mavericks,1571.632951,2009,West
Mavericks,1601.472668,2010,West
Mavericks,1635.174735,2011,West
Mavericks,1591.257616,2012,West
Mavericks,1494.828823,2013,West
Mavericks,1564.178958,2014,West
Mavericks,1598.191924,2015,West
Pacers,,1976,East
Pacers,1480.441051,1977,East
Pacers,1444.203291,1978,East
Pacers,1449.520594,1979,East
Pacers,1477.249406,1980,East
Pacers,1524.002619,1981,East
Pacers,1484.41298,1982,East
Pacers,1370.178173,1983,East
Pacers,1369.959651,1984,East
Pacers,1379.478573,1985,East
Pacers,1398.509935,1986,East
Pacers,1481.27008,1987,East
Pacers,1498.958194,1988,East
Pacers,1418.830026,1989,East
Pacers,1485.063093,1990,East
Pacers,1473.141082,1991,East
Pacers,1508.707281,1992,East
Pacers,1519.131088,1993,East
Pacers,1561.008204,1994,East
Pacers,1610.786072,1995,East
Pacers,1590.329808,1996,East
Pacers,1538.100183,1997,East
Pacers,1627.50064,1998,East
Pacers,1628.270989,1999,East
Pacers,1626.897055,2000,East
Pacers,1519.2949,2001,East
Pacers,1496.156832,2002,East
Pacers,1552.483733,2003,East
Pacers,1613.831215,2004,East
Pacers,1544.673617,2005,East
Pacers,1526.960995,2006,East
Pacers,1464.292348,2007,East
Pacers,1437.090667,2008,East
Pacers,1464.133691,2009,East
Pacers,1427.382041,2010,East
Pacers,1481.152044,2011,East
Pacers,1553.134978,2012,East
Pacers,1579.537822,2013,East
Pacers,1614.165595,2014,East
Pacers,1478.133426,2015,East
Timberwolves,,1976,West
Timberwolves,,1977,West
Timberwolves,,1978,West
Timberwolves,,1979,West
Timberwolves,,1980,West
Timberwolves,,1981,West
Timberwolves,,1982,West
Timberwolves,,1983,West
Timberwolves,,1984,West
Timberwolves,,1985,West
Timberwolves,,1986,West
Timberwolves,,1987,West
Timberwolves,,1988,West
Timberwolves,,1989,West
Timberwolves,1319.018826,1990,West
Timberwolves,1364.990391,1991,West
Timberwolves,1324.421048,1992,West
Timberwolves,1302.151255,1993,West
Timberwolves,1320.97106,1994,West
Timberwolves,1292.368702,1995,West
Timberwolves,1352.322213,1996,West
Timberwolves,1431.125604,1997,West
Timberwolves,1481.692325,1998,West
Timberwolves,1507.41502,1999,West
Timberwolves,1519.958124,2000,West
Timberwolves,1549.998531,2001,West
Timberwolves,1591.323964,2002,West
Timberwolves,1561.595127,2003,West
Timberwolves,1635.183112,2004,West
Timberwolves,1556.03122,2005,West
Timberwolves,1493.870141,2006,West
Timberwolves,1445.952661,2007,West
Timberwolves,1330.205313,2008,West
Timberwolves,1368.517116,2009,West
Timberwolves,1302.678148,2010,West
Timberwolves,1314.617607,2011,West
Timberwolves,1428.964397,2012,West
Timberwolves,1435.857071,2013,West
Timberwolves,1542.609841,2014,West
Timberwolves,1365.595607,2015,West
Hawks,,1976,East
Hawks,1379.6318,1977,East
Hawks,1479.272642,1978,East
Hawks,1532.812581,1979,East
Hawks,1582.318659,1980,East
Hawks,1472.062289,1981,East
